State/UT,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Rajasthan,, 10.1 , 9.3 , 7.7 , 9.3 , 7.9 , 9.2 , 10.3 , 8.7 , 8.7 , 7.6 , 7.8 , 10.1 , 9.8 , 9.6 , 8.4 , 7.8 , 8.7 , 7.8 , 7.5 , 7.7 , 7.5 , 5.2 , 7.3 , 7.2 , 7.1 , 7.0 , 6.9 , 6.4 , 6.6 , 6.2 , 6.4 , 6.2 , 6.1 , 6.2 , 6.1 , 6.0 , 6.1 , 6.1 , 6.0 , 5.8 , 5.7 , 5.6 , 5.3 , 5.2 , 5.2 
Sikkim,,,,,,,,,,, 5.4 , 8.0 , 4.8 , 5.0 , 6.2 , 6.1 , 5.4 , 5.5 , 4.3 , 5.2 , 3.0 , 2.1 , 2.0 , 3.0 , 3.0 , 3.4 , 3.5 , 3.9 , 3.4 , 4.0 , 3.2 , 4.1 , 4.0 , 4.0 , 4.8 , 4.7 , 4.4 , 3.7 , 3.9 , 3.8 , 3.5 , 3.3 , 3.2 , 3.5 , 3.5 , 3.4 
Tamil Nadu, 9.3 , 8.9 , 8.4 , 8.7 , 9.0 , 9.8 , 10.1 , 9.1 , 8.8 , 8.3 , 7.9 , 7.4 , 8.5 , 8.7 , 6.9 , 7.1 , 7.6 , 7.3 , 6.8 , 6.5 , 7.6 , 6.7 , 5.8 , 6.2 , 6.6 , 6.6 , 6.7 , 6.8 , 6.6 , 6.5 , 6.0 , 5.9 , 5.6 , 6.7 , 6.2 , 6.4 , 6.3 , 6.3 , 6.6 , 6.9 , 6.4 , 6.4 , 6.3 , 6.2 , 6.0 , 5.7 
Telangana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 4.9 , 4.9 , 4.6 
Tripura, 7.6 , 8.6 , 7.7 , 7.1 , 6.9 , 5.6 , 4.6 , 6.5 , 7.4 , 4.9 , 5.4 , 5.7 , 4.9 , 7.9 , 8.0 , 9.2 , 6.3 , 4.6 , 5.7 , 5.1 , 6.4 , 4.3 , 4.7 , 8.1 , 6.6 , 4.9 , 5.8 , 5.4 , 5.7 , 5.6 , 5.2 , 6.2 , 6.0 , 5.7 , 5.8 , 6.8 , 6.4 , 5.2 , 5.5 , 5.7 , 5.4 , 5.1 , 5.1 , 5.9 , 6.0 , 6.1 
Uttar Pradesh, 13.1 , 14.8 , 12.6 , 12.0 , 14.8 , 12.9 , 11.9 , 13.4 , 10.1 , 10.3 , 9.9 , 9.4 , 10.4 , 12.2 , 9.6 , 10.0 , 9.9 , 9.4 , 8.2 , 8.8 , 8.3 , 9.0 , 8.0 , 7.8 , 8.3 , 8.2 , 8.2 , 8.1 , 8.1 , 8.0 , 7.8 , 7.3 , 7.0 , 6.2 , 6.8 , 6.6 , 6.5 , 6.6 , 6.5 , 6.3 , 6.1 , 6.0 , 5.9 , 5.8 , 5.7 , 5.5 
Uttarakhand,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 3.5 , 4.5 , 6.1 , 4.4 , 4.8 , 4.4 , 5.3 , 5.5 , 5.3 , 5.6 , 5.2 , 5.1 , 4.9 , 4.8 , 4.8 , 5.2 , 5.6 , 5.9 
West Bengal,,,,,,,,,,, 6.9 , 6.3 , 6.9 , 7.5 , 6.8 , 6.9 , 6.5 , 5.9 , 7.0 , 7.0 , 6.7 , 6.6 , 4.4 , 7.1 , 7.2 , 7.2 , 7.2 , 7.1 , 6.8 , 6.7 , 6.4 , 6.4 , 6.2 , 6.0 , 6.6 , 6.3 , 6.4 , 6.6 , 6.4 , 6.3 , 6.5 , 6.6 , 6.6 , 6.4 , 6.2 , 6.1 
Andaman & Nicobar Islands, 4.1 , 2.9 , 3.3 , 4.6 , 5.9 , 5.0 , 7.6 , 6.3 , 3.9 , 3.6 , 2.4 , 3.9 , 4.2 , 4.8 , 3.4 , 5.5 , 4.5 , 4.2 , 3.4 , 5.1 , 3.9 , 4.4 , 3.6 , 4.0 , 3.9 , 3.6 , 3.6 , 3.0 , 3.5 , 3.4 , 4.1 , 3.8 , 3.4 , 3.6 , 3.6 , 3.8 , 3.4 , 3.6 , 3.6 , 3.3 , 3.6 , 3.4 , 3.4 , 3.8 , 5.3 , 4.6 
Chandigarh,, 4.4 , 3.9 , 3.4 , 4.9 , 4.5 , 3.6 , 3.9 , 3.0 , 1.6 , 1.9 , 3.4 , 3.5 , 4.2 , 3.8 , 4.6 , 3.7 , 4.6 , 3.8 , 3.4 , 4.5 , 3.4 , 2.6 , 3.8 , 5.8 , 4.4 , 4.3 , 4.2 , 4.1 , 3.9 , 3.7 , 3.4 , 3.8 , 2.9 , 4.7 , 4.2 , 4.1 , 4.6 , 3.9 , 3.9 , 4.1 , 4.0 , 4.0 , 4.0 , 4.4 , 4.6 
D&N Haveli,,,,,,,,,,,,,,,,,,,,,,,,, 5.0 , 4.5 , 3.6 , 3.0 , 2.5 , 3.5 , 2.9 , 4.0 , 3.4 , 3.0 , 3.1 , 3.1 , 3.2 , 3.0 , 3.7 , 3.3 , 3.0 , 3.0 , 2.9 , 3.7 , 3.5 , 3.2 
Daman & Diu,,,,,,,,,,,,,,, 11.6 , 7.1 , 4.8 , 6.6 , 8.9 , 9.9 , 6.5 , 8.6 , 9.1 , 4.5 , 8.3 , 9.4 , 4.4 , 6.1 , 5.4 , 6.2 , 5.9 , 5.9 , 6.0 , 6.2 , 6.1 , 6.1 , 5.7 , 5.2 , 4.4 , 4.8 , 4.8 , 4.6 , 4.6 , 4.6 , 4.5 , 4.2 
Lakshadweep,,,,,,,,,,,,, 9.9 , 8.2 , 5.0 , 4.2 , 5.7 , 7.0 , 3.1 , 5.4 , 2.7 , 5.3 , 6.1 , 8.8 , 10.1 , 6.6 , 6.3 , 6.2 , 5.0 , 4.9 , 5.2 , 5.1 , 5.4 , 9.1 , 5.2 , 6.0 , 5.7 , 7.8 , 6.3 , 6.7 , 6.7 , 6.7 , 6.6 , 5.9 , 5.5 , 5.5 
Puducherry, 9.7 , 7.8 , 8.3 , 5.6 , 9.4 , 6.0 , 8.1 , 10.3 , 7.1 , 8.5 , 7.2 , 6.1 , 6.9 , 8.2 , 6.3 , 8.0 , 7.3 , 7.2 , 7.4 , 5.1 , 6.0 , 5.8 , 5.8 , 7.7 , 6.6 , 6.9 , 7.2 , 7.2 , 6.1 , 6.0 , 6.6 , 5.7 , 5.4 , 8.2 , 6.7 , 7.0 , 7.5 , 6.9 , 6.8 , 7.0 , 6.8 , 6.7 , 6.6 , 6.0 , 6.2 , 6.9 
India, 9.7 , 10.3 , 9.6 , 9.2 , 10.2 , 9.5 , 9.4 , 9.4 , 8.4 , 8.0 , 7.8 , 7.4 , 7.9 , 8.6 , 7.8 , 7.6 , 7.4 , 7.7 , 7.2 , 6.8 , 7.1 , 7.0 , 5.8 , 6.7 , 6.6 , 6.5 , 6.5 , 6.6 , 6.3 , 6.3 , 6.3 , 6.1 , 6.0 , 5.8 , 6.0 , 6.0 , 6.0 , 5.9 , 5.8 , 5.8 , 5.7 , 5.6 , 5.6 , 5.5 , 5.4 , 5.4 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
